,,,element14,,digikey,
part,qty,desc,Part number,order code,manufacturers part number,digikey part nuber
VR1,1," TRIMMER, 25 TURN 1K",T93YA102KT20,1141401,T93YA102KT20,T93YA-1.0K-ND
J1,1," CONNECTOR, USB B, RECEPTACLE, PCB, R/A",61729-0010BLF,1097897,61729-0010BLF,609-1039-ND
J3,1," BOARD TO BOARD, HEADER, 6POS, 1ROW",68000-206HLF,1924233,68000-206HLF,609-3256-ND
J2,1," HEADER, SQUARE PIN, 2.54MM, 6WAY",22-27-2061,9731172,640456-6,A1923-ND
C1;C5;C8,3," CAPACITOR PEN FILM, 0.1UF, 100V, 10%, RADIAL",B32529C1104K,2098447,B32529C1104K,495-2481-ND
C10,1," CAP, FILM, PET, 470NF, 63V, RAD",BFC237011474,1215513,B32529C474K,495-2561-ND
D1,1," DIODE, SCHOTTKY, 200M, 30V, DO-34","BAT85,113",1097299,"BAT85,113",568-1617-1-ND
Q1;Q2,2," TRANSISTOR, PNP, 45V, 0.1A, TO-92",BC557BZL1G,9558527,BC557BZL1G,BC557BZL1GOSCT-ND
R1;R6;R9;R10;R12;R15,6," RESISTOR, CARBON , 10K, 0.33W, 5%",CFR25J10K,2329609,CFR-25JB-52-10K,10KQBK-ND
R4,1," RESISTOR, CARBON , 180R, 0.33W, 5%",CFR25J180R,2329623,CFR-25JB-52-180R,180QBK-ND
R11,1," RESISTOR, CARBON , 2K2, 0.33W, 5%",CFR25J2K2,2329653,CFR-25JB-52-2K2,2.2KQBK-ND
R13;R14,2," RESISTOR, CARBON , 330R, 0.33W, 5%",CFR25J330R,2329663,CFR-25JB-52-330R,330QBK-ND
R3,1," RESISTOR, CARBON , 470R, 0.33W, 5%",CFR25J470R,2329680,CFR-25JB-52-470R,470QBK-ND
R2,1," RESISTOR, CARBON , 4K7, 0.33W, 5%",CFR25J4K7,2329685,CFR-25JB-52-4K7,4.7KQBK-ND
R5,1," RESISTOR, CARBON , 2R7, 0.33W, 5%",CFR25J2R7,2329660,CFR-25JB-52-2R7,2.7QBK-ND
R7;R8,2," RESISTOR, CARBON , 47K, 0.33W, 5%",CFR25J47K,2329681,CFR-25JB-52-47K,47KQBK-ND
C6;C7,2," CAPACITOR CERAMIC 22PF 50V, C0G/NP0, 5%, RAD",MCCC50V220JNPO,1600966,DEA1X3D220JC1B,490-4175-ND
X1,1," XTAL, 20.000MHZ, 18PF, HC-49S",9B-20.000MAAJ-B,1842224,9B-20.000MAAJ-B,887-1023-ND
IC3,1," IC, DC/DC CONTROLLER, 34063, DIP8",MC34063AP,1053579,MC34063AP,296-17766-5-ND
C3,1," CAP, FILM, PP, 680PF, 100V, RAD",FKP2D006801D00JSSD,1005990,PFR5681J63J11L4BULK,399-7706-ND
IC1,1," MCU, 8BIT, PIC18, 48MHZ, NDIP-28",PIC18F2550-I/SP,9321250,PIC18F2550-I/SP,PIC18F2550-I/SP-ND
IC2,1," LOGIC, BUFF/DVR HEX INVERT, 14DIP",SN74LS06N,1739683,SN74LS06N,296-15069-5-ND
C9,1," CAPACITOR ALUM ELEC 10UF, 35V, 20%, RADIAL",UVR1V100MDD1TD,1822563,UVR1V100MDD,493-1077-ND
C2;C4,2," CAPACITOR ALUM ELEC 100UF, 35V, 20%, RADIAL",UVR1V101MED1TD,1822582,UVR1V101MED,493-1081-ND
LED1;LED4,2," LED, 5MM, GREEN, 100MCD, 568NM",L-1503GD,2335726,WP7113GD,754-1263-ND
LED2,1," LED, 5MM, RED, 40MCD, 617NM",L-1503ID,2335725,WP7113ID,754-1264-ND
LED3,1," LED, 5MM, YELLOW, 30MCD, 588NM",L-1503YD,2335727,WP7113YD,754-1284-ND
L1,1," INDUCTOR, 1MH, RADIAL LEADED",RLB0912-102KL,1795352,RLB0912-102KL,RLB0912-102KL-ND
